gene_i	gene_j	ERP117672	GSE302495
TNFAIP3	NKG7	0.465546218487395	0.12878870773607617
TNFAIP3	PRF1	0.484873949579832	0.2981726665937192
TNFAIP3	GZMB	0.31624649859943976	0.4907539118065434
TNFAIP3	PDCD1	0.5806722689075631	0.5189845716161505
TNFAIP3	LAG3	0.3778711484593838	0.2745376955903272
TNFAIP3	TIGIT	0.5714285714285715	0.100120363278258
TNFAIP3	TOX	0.5005602240896359	0.35178903599956235
STAT1	IRF1	0.7033613445378152	0.5603457708720867
STAT1	IFIT1	0.11036414565826332	-0.13863661232082283
STAT1	IFIT2	0.25602240896358547	0.14498303971988183
STAT1	IFIT3	0.357703081232493	0.4196301564722617
STAT1	ISG15	0.43501400560224085	0.35879199037093773
STAT1	MX1	0.34425770308123255	0.549622496990918
STAT1	OAS1	0.27450980392156865	0.45179997811576755
STAT1	CXCL9	0.7820728291316525	0.8457161615056351
STAT1	CXCL10	0.6481792717086836	0.7592734434839697
STAT1	IFNG	0.7878958000505668	0.4433127865097533
STAT1	TNF	0.742256664383986	0.6235912025385709
STAT1	CCL5	0.8330532212885153	0.4432651274756538
STAT1	NKG7	0.6341736694677872	0.446110077689025
STAT1	PRF1	0.7204481792717087	0.47105810263705
STAT1	GZMB	0.7296918767507002	0.5610022978444031
STAT1	PDCD1	0.5030812324929972	0.5669110405952511
STAT1	LAG3	0.36246498599439775	0.4051865630812999
STAT1	TIGIT	0.8221288515406163	0.5922967501914871
STAT1	TOX	0.7092436974789916	0.4515811357916621
IRF1	IFIT1	0.06526610644257703	-0.41437794069373013
IRF1	IFIT2	0.2235294117647059	-0.04365904365904366
IRF1	IFIT3	0.44145658263305326	0.0504431557063136
IRF1	ISG15	0.3843137254901961	0.07342159973738921
IRF1	MX1	0.2868347338935574	0.4264142685195317
IRF1	OAS1	0.4277310924369748	0.3305613305613306
IRF1	CXCL9	0.6876750700280113	0.5778531568005252
IRF1	CXCL10	0.7728291316526611	0.39927782033045195
IRF1	IFNG	0.7394228365339423	0.24920597709653788
IRF1	TNF	0.7501052998079859	0.6259984681037313
IRF1	CCL5	0.8280112044817927	0.35879199037093773
IRF1	NKG7	0.6341736694677872	0.3053944632892001
IRF1	PRF1	0.788795518207283	0.40343582448845605
IRF1	GZMB	0.5543417366946779	0.5813546339862129
IRF1	PDCD1	0.6669467787114847	0.5793850530692637
IRF1	LAG3	0.561624649859944	0.3762993762993763
IRF1	TIGIT	0.7498599439775911	0.4780610570084254
IRF1	TOX	0.7526610644257704	0.4918481234270708
IFIT1	IFIT2	0.7803921568627451	0.6516030200240727
IFIT1	IFIT3	0.6977591036414567	0.5086989823831929
IFIT1	ISG15	0.4935574229691877	0.28963781595360544
IFIT1	MX1	0.6319327731092438	0.2327388116861801
IFIT1	OAS1	0.42689075630252105	0.4078126709705657
IFIT1	CXCL9	0.03781512605042017	-0.045628624575992996
IFIT1	CXCL10	0.11764705882352944	0.08173760805339753
IFIT1	IFNG	0.028859625677527874	0.020484183611891246
IFIT1	TNF	0.07806589162799854	-0.1480468322573586
IFIT1	CCL5	0.1700280112044818	0.18371813108655213
IFIT1	NKG7	0.10980392156862746	0.2500273552905132
IFIT1	PRF1	0.11036414565826332	0.2474012474012474
IFIT1	GZMB	0.18711484593837538	0.014553014553014552
IFIT1	PDCD1	-0.16834733893557424	-0.16402232191705876
IFIT1	LAG3	-0.07647058823529412	0.2292373345004924
IFIT1	TIGIT	0.008123249299719889	-0.057008425429478066
IFIT1	TOX	0.10812324929971989	-0.3749863223547434
IFIT2	IFIT3	0.7554621848739497	0.617682459787723
IFIT2	ISG15	0.5523809523809524	0.24193018929861035
IFIT2	MX1	0.43221288515406164	0.35835430572272675
IFIT2	OAS1	0.4714285714285714	0.3239960608381661
IFIT2	CXCL9	0.23389355742296922	0.276288434183171
IFIT2	CXCL10	0.2882352941176471	0.39424444687602583
IFIT2	IFNG	0.13140936352194732	0.048088537997969284
IFIT2	TNF	0.33342685131599376	0.2519969362074625
IFIT2	CCL5	0.3403361344537815	0.26447094868147497
IFIT2	NKG7	0.2705882352941177	0.32049458365247835
IFIT2	PRF1	0.21344537815126052	0.33865849655323343
IFIT2	GZMB	0.1403361344537815	0.2927016084910822
IFIT2	PDCD1	0.038375350140056025	0.020242914979757082
IFIT2	LAG3	0.10728291316526611	0.24258671627092676
IFIT2	TIGIT	0.2123249299719888	-0.01214574898785425
IFIT2	TOX	0.1829131652661065	-0.029434292592187328
IFIT3	ISG15	0.5750700280112045	0.6594813436918701
IFIT3	MX1	0.6028011204481794	0.5612211401685085
IFIT3	OAS1	0.7179271708683473	0.6279680490206806
IFIT3	CXCL9	0.2285714285714286	0.4360433307801728
IFIT3	CXCL10	0.38963585434173675	0.5728197833460991
IFIT3	IFNG	0.1994956648776684	0.35765165504184443
IFIT3	TNF	0.2859145761599946	0.4244446876025823
IFIT3	CCL5	0.3633053221288516	0.3454426086005033
IFIT3	NKG7	0.23109243697478996	0.3513513513513513
IFIT3	PRF1	0.27563025210084036	0.3854907539118066
IFIT3	GZMB	0.2204481792717087	0.34434839697997593
IFIT3	PDCD1	0.21120448179271709	-0.021337126600284494
IFIT3	LAG3	0.08739495798319327	0.26731589889484625
IFIT3	TIGIT	0.29887955182072834	0.27234927234927236
